Fold,Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc
1,1,486.1352332830429,104.46449035406113,0.27325,0.402
1,2,392.44274938106537,96.85563915967941,0.42525,0.456
1,3,363.2075126171112,93.22586685419083,0.468375,0.4575
1,4,329.83691745996475,90.12148833274841,0.526,0.4795
1,5,308.92656219005585,88.46773934364319,0.5535,0.505
1,6,280.5147967338562,89.11490792036057,0.59225,0.506
1,7,260.21633145213127,89.43088334798813,0.627125,0.518
1,8,231.6213304400444,90.91723716259003,0.67625,0.5155
1,9,208.61144056916237,99.54948735237122,0.70675,0.51
1,10,185.75473928451538,97.59747725725174,0.737625,0.519
1,11,163.88432157039642,101.87173706293106,0.76525,0.525
1,12,138.3432776927948,113.90225476026535,0.8095,0.493
1,13,119.9332914352417,125.7487291097641,0.832875,0.513
1,14,102.48595417290926,133.52749544382095,0.85475,0.502
1,15,86.05515219271183,139.51103001832962,0.878375,0.503
1,16,71.94889171421528,147.2269012928009,0.90225,0.505
1,17,60.2840426042676,169.05481219291687,0.9205,0.48
1,18,52.004765160381794,188.58660447597504,0.931875,0.4935
1,19,43.34808634221554,199.0569270849228,0.93775,0.5
1,20,43.90106133930385,200.20108270645142,0.93625,0.4935
2,1,517.8972744941711,112.48780345916748,0.234875,0.355
2,2,439.3468210697174,103.83077532052994,0.36375,0.3855
2,3,401.69401800632477,98.31185549497604,0.416125,0.4245
2,4,376.28075659275055,96.36497271060944,0.453875,0.436
2,5,360.07321321964264,95.07622194290161,0.476375,0.447
2,6,348.0199344754219,93.03380092978477,0.495875,0.461
2,7,331.37754559516907,97.5584836602211,0.521,0.4425
2,8,322.1519712805748,94.39141058921814,0.52625,0.462
2,9,312.31711143255234,95.80841219425201,0.546,0.446
2,10,295.89439487457275,97.37200182676315,0.572875,0.476
2,11,284.70992493629456,92.08675044775009,0.591,0.487
2,12,269.2700231075287,95.05597233772278,0.614,0.4815
2,13,260.2757793664932,101.42257881164551,0.626375,0.4545
2,14,247.10568624734879,100.13584864139557,0.642125,0.4655
2,15,235.4309597015381,104.55039703845978,0.654,0.4615
2,16,222.35273545980453,104.37910670042038,0.68525,0.473
2,17,212.02053448557854,107.94866120815277,0.69775,0.4695
2,18,198.36585971713066,111.26949954032898,0.71475,0.4615
2,19,188.86168417334557,114.90886336565018,0.727625,0.475
2,20,177.04344895482063,113.61466717720032,0.746375,0.4665
3,1,495.4210948944092,121.73389887809753,0.267375,0.322
3,2,395.308761715889,99.42541307210922,0.422625,0.424
3,3,356.81352615356445,93.73475885391235,0.481625,0.4595
3,4,330.5076832175255,94.95372658967972,0.5255,0.4685
3,5,306.5133520960808,94.02506104111671,0.55825,0.472
3,6,285.57533073425293,92.26935172080994,0.5935,0.5025
3,7,265.0040519833565,95.20710262656212,0.621125,0.4885
3,8,242.82249447703362,94.32438266277313,0.6525,0.506
3,9,219.21755889058113,97.59481757879257,0.68575,0.5045
3,10,198.87401753664017,103.1416631937027,0.712,0.492
3,11,175.7839674949646,107.63802260160446,0.749,0.5
3,12,151.55690152943134,117.5680940747261,0.78775,0.4975
3,13,128.30652950704098,128.99564695358276,0.821375,0.4985
3,14,109.31434766948223,137.27600502967834,0.846125,0.492
3,15,92.10358510166407,157.77415066957474,0.87075,0.491
3,16,73.69658330827951,160.84448754787445,0.899125,0.504
3,17,59.90171991661191,176.43453532457352,0.92075,0.494
3,18,53.12272675707936,189.36330544948578,0.925625,0.481
3,19,53.769357301294804,192.3884652853012,0.926625,0.4925
3,20,43.47249682620168,209.30010145902634,0.94125,0.489
4,1,469.59754037857056,109.058702647686,0.311875,0.3925
4,2,383.40202647447586,95.44376516342163,0.44125,0.4425
4,3,342.06949585676193,85.45140868425369,0.5065,0.515
4,4,308.59720569849014,86.360794454813,0.561875,0.5025
4,5,280.35223323106766,81.67155367136002,0.604,0.541
4,6,254.41855591535568,81.71795892715454,0.639875,0.5485
4,7,223.99151274561882,83.87902349233627,0.682,0.5515
4,8,199.0028367638588,88.68716359138489,0.71825,0.5425
4,9,171.49437284469604,92.0803564786911,0.757875,0.5565
4,10,146.60513505339622,104.799695789814,0.793375,0.5405
4,11,121.0414127111435,108.93570578098297,0.833375,0.544
4,12,103.06151761114597,128.45192420482635,0.85425,0.5235
4,13,87.83469217270613,129.2384468317032,0.87975,0.5385
4,14,64.76222796738148,141.5897552371025,0.91125,0.5255
4,15,51.843306846916676,159.39775329828262,0.930375,0.517
4,16,49.925349455326796,173.74991422891617,0.93,0.53
4,17,36.45631090924144,186.55492746829987,0.950125,0.5255
4,18,34.7365399049595,197.17700350284576,0.952125,0.4905
4,19,40.48530580662191,205.3007378578186,0.942375,0.5175
4,20,35.20307210460305,218.6314355134964,0.95275,0.5095
5,1,506.71912717819214,107.91048741340637,0.24,0.3705
5,2,403.8000068664551,98.91652578115463,0.413375,0.434
5,3,368.4427191019058,92.81725829839706,0.46425,0.4635
5,4,342.6800129413605,89.16942608356476,0.497,0.4995
5,5,326.5317417383194,93.34985753893852,0.53025,0.483
5,6,305.22945791482925,96.33124548196793,0.563625,0.471
5,7,288.6036030650139,91.20749497413635,0.58975,0.5045
5,8,267.2710720896721,92.02539616823196,0.611625,0.5085
5,9,251.83970490098,95.23534607887268,0.64275,0.5025
5,10,236.03019505739212,96.68959248065948,0.665375,0.492
5,11,210.9690853357315,107.25478571653366,0.701875,0.4785
5,12,191.97698852419853,110.22541749477386,0.7305,0.478
5,13,175.5487099289894,113.73580968379974,0.75625,0.4895
5,14,156.48380634188652,117.52637934684753,0.778875,0.4895
5,15,137.82256646454334,126.37944316864014,0.809875,0.4775
5,16,121.41136798262596,136.33107459545135,0.829875,0.4795
5,17,105.69435036182404,150.36171555519104,0.850375,0.4745
5,18,97.26401666551828,160.76277768611908,0.865875,0.4655
5,19,85.12940204888582,166.3903471827507,0.8815,0.4765
5,20,69.3903422281146,193.6218502521515,0.908375,0.466
