metric,mean,std
accuracy,0.1565,0.006480740698407866
precision,0.1543024286103491,0.0058852605454507755
recall,0.1560981588476214,0.006005236806470574
f1,0.154147020449677,0.005958455260284864
train_time,226.35979557037354,
inference_time,1.821451473236084,
,,
dataset_info,,
dataset,CIFARGS,
num_classes,10,
