Fold,Accuracy,Precision,Recall,F1
1,0.5925,0.6327867982464133,0.5925,0.596957274095637
2,0.5875,0.5928263869445749,0.5875,0.580266450032847
3,0.609,0.6170072310243505,0.609,0.6034117525817587
4,0.6005,0.6092533570636314,0.6005,0.5963489257288547
5,0.5575,0.5715126678162026,0.5575,0.5538944147590459
