Fold,Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc
1,1,479.77323377132416,109.73447006940842,0.30275,0.37
1,2,388.4092276096344,91.94385689496994,0.436125,0.4725
1,3,343.16002756357193,90.75624641776085,0.507625,0.478
1,4,308.5124903321266,87.16319143772125,0.556875,0.511
1,5,269.93728601932526,85.52083820104599,0.615875,0.52
1,6,238.9514490365982,84.33540731668472,0.654375,0.545
1,7,206.67097532749176,88.2046548128128,0.70275,0.539
1,8,176.18924060463905,93.16510260105133,0.74625,0.5255
1,9,150.83043032884598,98.63041025400162,0.78925,0.537
1,10,122.9417385160923,107.8345148563385,0.82825,0.543
1,11,96.09388480335474,116.29386585950851,0.867125,0.525
1,12,72.0071476995945,137.83118867874146,0.904125,0.5095
1,13,51.728484593331814,144.3042693734169,0.934625,0.5145
1,14,44.45637162774801,158.98181945085526,0.943125,0.527
1,15,32.17819873802364,170.74819868803024,0.961375,0.5255
1,16,25.068962851539254,180.5001090168953,0.970125,0.5335
1,17,19.018119570799172,207.41700929403305,0.978125,0.518
1,18,22.97456301562488,205.31142103672028,0.97275,0.512
1,19,26.68629478942603,221.0248106122017,0.964875,0.524
1,20,18.451601044740528,235.05814111232758,0.97825,0.5275
2,1,473.4124399423599,103.69933211803436,0.306125,0.394
2,2,390.4604842662811,93.31258711218834,0.43175,0.4595
2,3,349.995389521122,91.83800154924393,0.490875,0.469
2,4,319.1463844180107,90.23513174057007,0.53925,0.479
2,5,289.44225692749023,84.00399178266525,0.57975,0.533
2,6,266.07509422302246,90.21201607584953,0.61725,0.4995
2,7,243.0155022740364,88.01227635145187,0.652875,0.5125
2,8,212.62881535291672,88.43563771247864,0.698,0.5185
2,9,183.55158287286758,95.38733205199242,0.739625,0.5185
2,10,161.34131628274918,97.71532088518143,0.767875,0.53
2,11,127.59680892527103,112.7235694527626,0.8225,0.5225
2,12,102.42955075204372,116.06761848926544,0.858375,0.5125
2,13,85.06081632524729,127.1835703253746,0.883375,0.5255
2,14,63.382946472615004,138.19881147146225,0.91375,0.526
2,15,49.51178700104356,151.42732578516006,0.936,0.5235
2,16,34.69928909279406,169.30028825998306,0.95575,0.5145
2,17,30.82476126216352,195.17128312587738,0.962,0.5075
2,18,28.134906755760312,196.53070187568665,0.9625,0.508
2,19,31.14865001477301,186.2190471291542,0.953625,0.5215
2,20,24.502389991655946,212.52522826194763,0.969,0.508
3,1,465.30876529216766,116.70078575611115,0.3185,0.312
3,2,393.520889043808,98.1267037987709,0.42775,0.4425
3,3,351.22753900289536,91.56802523136139,0.48975,0.482
3,4,320.56482768058777,88.09650760889053,0.533125,0.4975
3,5,294.2315737605095,84.3886569738388,0.5805,0.536
3,6,266.96962797641754,85.09592178463936,0.6255,0.53
3,7,241.92463552951813,84.18441289663315,0.6575,0.5565
3,8,219.76611948013306,85.69146165251732,0.6845,0.533
3,9,193.07120674848557,90.443812251091,0.728,0.5435
3,10,165.203393638134,99.09226632118225,0.765,0.5455
3,11,140.13106015324593,108.09419769048691,0.801,0.531
3,12,117.65715935826302,106.77603030204773,0.836625,0.5465
3,13,97.05031687021255,120.06033873558044,0.864125,0.5425
3,14,76.03202187269926,131.4616783261299,0.89825,0.5325
3,15,59.59868533164263,148.64967942237854,0.919375,0.5255
3,16,47.965619411319494,165.53888338804245,0.9355,0.529
3,17,38.197459906339645,169.14566719532013,0.951375,0.518
3,18,30.721825793385506,184.02238076925278,0.959,0.517
3,19,27.399923297576606,198.61985301971436,0.963625,0.519
3,20,24.06322830542922,206.75682121515274,0.968875,0.5225
4,1,478.41885912418365,104.34954279661179,0.2925,0.3885
4,2,389.8573464155197,91.26441705226898,0.431,0.4495
4,3,342.1912015080452,85.17803907394409,0.506,0.5025
4,4,308.4352049231529,88.09814524650574,0.560125,0.5055
4,5,274.65228003263474,81.95479145646095,0.60925,0.5275
4,6,249.21870148181915,82.97133249044418,0.64375,0.5465
4,7,221.600772023201,85.135951846838,0.683375,0.55
4,8,195.16538646817207,93.64158034324646,0.72225,0.5375
4,9,175.8103012740612,90.24035716056824,0.74925,0.564
4,10,150.12438815832138,100.75056171417236,0.793875,0.546
4,11,126.16462363302708,106.81445813179016,0.82825,0.535
4,12,105.77354846894741,116.93111246824265,0.850375,0.54
4,13,93.3345387428999,124.71470111608505,0.866875,0.518
4,14,77.24478962272406,137.63891994953156,0.890875,0.5275
4,15,56.285614006221294,150.42500799894333,0.9265,0.5275
4,16,47.66342870518565,156.8536421060562,0.934875,0.5335
4,17,45.65089684166014,176.60948872566223,0.934375,0.525
4,18,35.23362644389272,188.4141520857811,0.955875,0.5115
4,19,28.959724919870496,196.73970985412598,0.961375,0.5035
4,20,23.84984466433525,224.41234201192856,0.969375,0.5205
5,1,464.39020001888275,100.12548339366913,0.30925,0.4285
5,2,375.48928970098495,92.48196750879288,0.452,0.461
5,3,337.2622580528259,85.16406881809235,0.511375,0.508
5,4,309.21869468688965,83.07221883535385,0.558875,0.53
5,5,279.0943699479103,79.96539676189423,0.598125,0.552
5,6,246.98668587207794,84.40881329774857,0.647375,0.538
5,7,219.31797954440117,83.60187047719955,0.687125,0.5545
5,8,188.11980891227722,89.12796241044998,0.735625,0.537
5,9,159.6474483013153,93.02120041847229,0.77225,0.55
5,10,132.5796414911747,97.28476428985596,0.80975,0.5545
5,11,102.41981667280197,108.7002221941948,0.859875,0.5345
5,12,89.75955498963594,115.3057776093483,0.875625,0.5545
5,13,66.7038237825036,129.56402495503426,0.91125,0.5405
5,14,49.54193837568164,144.4409094452858,0.934375,0.537
5,15,33.64185667783022,160.0328350663185,0.9585,0.5355
5,16,35.031657660380006,171.1745616197586,0.95525,0.5255
5,17,31.068801902234554,179.68665772676468,0.960375,0.542
5,18,19.882623678073287,192.37628561258316,0.976375,0.5465
5,19,16.839131717104465,212.88331866264343,0.979875,0.5275
5,20,17.838670572265983,208.25602760910988,0.97975,0.542
