Parameter,Value
Num Clusters,100
Feature Detector,sift
Classifier Type,svm
Total Training Time,749.75 seconds
Feature Extraction Time,4.10 seconds
Clustering Time,114.86 seconds
Classification Time,630.79 seconds
Total Descriptors,104944
Avg Descriptors/Image,13.1
""
Dataset Information
dataset,CIFARGS
num_classes,10
