Fold,Accuracy,Precision,Recall,F1
1,0.5515,0.5772320134442962,0.5515,0.5328796954112283
2,0.5905,0.6043451859277339,0.5905,0.5907690666371269
3,0.5945,0.5957077766421113,0.5944999999999999,0.5908254403122457
4,0.581,0.6114926640950871,0.581,0.5804016065722454
5,0.5885,0.617707822054498,0.5885,0.5891063442504343
