Fold,Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc
1,1,104.89538550376892,23.78009784221649,0.389,0.4625
1,2,75.97110521793365,21.603077232837677,0.56225,0.522
1,3,57.03496068716049,25.48468041419983,0.6825,0.49
1,4,39.91610327363014,28.980954825878143,0.778,0.468
1,5,26.349784806370735,29.38096195459366,0.8555,0.494
1,6,17.192277267575264,32.03946495056152,0.909,0.51
1,7,12.478835918009281,34.31614673137665,0.929,0.4965
1,8,9.859391875565052,44.44700241088867,0.948,0.478
1,9,8.684622146189213,36.77205216884613,0.951125,0.5025
1,10,7.275653466582298,36.580222606658936,0.961375,0.513
1,11,5.508004855364561,33.273250699043274,0.97,0.5325
1,12,4.996269378811121,42.096197724342346,0.9705,0.4935
1,13,5.807368943467736,36.24349594116211,0.968625,0.536
1,14,4.201316616497934,36.05296087265015,0.9775,0.558
1,15,4.200205530039966,37.10007095336914,0.975625,0.5545
1,16,5.535544263198972,36.347983717918396,0.97,0.5285
1,17,4.110563540831208,38.07249307632446,0.979625,0.523
1,18,3.667450752109289,37.236143708229065,0.980375,0.545
1,19,3.089274074882269,36.421178221702576,0.983375,0.562
1,20,2.224558409769088,39.8368501663208,0.989125,0.548
2,1,104.59948873519897,25.600926220417023,0.388125,0.4355
2,2,76.91705214977264,29.84277495741844,0.56075,0.418
2,3,56.518737614154816,23.784324169158936,0.678,0.523
2,4,38.02523013949394,25.77940046787262,0.79075,0.5275
2,5,24.71714672446251,32.129655718803406,0.863125,0.4835
2,6,19.111987084150314,32.724976539611816,0.895375,0.4935
2,7,14.353041552007198,37.37025439739227,0.921875,0.494
2,8,9.930961690843105,36.85437375307083,0.94675,0.5035
2,9,6.408962344750762,34.690871834754944,0.967375,0.5145
2,10,6.235303200781345,36.480302929878235,0.965375,0.5335
2,11,5.440676664933562,38.10616588592529,0.970375,0.5335
2,12,5.2440157271921635,37.186615109443665,0.970875,0.5285
2,13,4.673613674938679,35.79181683063507,0.975875,0.546
2,14,4.8203895427286625,35.60719549655914,0.97525,0.5595
2,15,5.8174820970743895,39.04043346643448,0.9675,0.533
2,16,4.624465463683009,38.78410089015961,0.975625,0.542
2,17,4.829398345202208,37.01057147979736,0.9725,0.56
2,18,3.7126493509858847,37.27085554599762,0.978875,0.546
2,19,3.8380169048905373,39.07391941547394,0.978375,0.5415
2,20,3.311763374134898,42.826652228832245,0.98325,0.5395
3,1,103.71779310703278,26.47434711456299,0.391875,0.417
3,2,76.32328021526337,24.767565846443176,0.56525,0.475
3,3,58.37421762943268,30.356528371572495,0.676375,0.44
3,4,40.03536570072174,29.78046488761902,0.7785,0.4645
3,5,28.614532113075256,29.548421680927277,0.844625,0.4885
3,6,18.947653993964195,35.50388926267624,0.896125,0.489
3,7,11.61145981401205,32.49963855743408,0.93775,0.5235
3,8,8.755341313779354,34.21498316526413,0.952125,0.529
