Metric,BoW_Mean,BoW_Std,CNN_Mean,CNN_Std,ResNet_Mean,ResNet_Std
accuracy,0.2672,0.0080,0.5427,0.0101,0.5331,0.0198
precision,0.2619,0.0075,0.5479,0.0088,0.5547,0.0178
recall,0.2679,0.0080,0.5427,0.0101,0.5331,0.0198
f1,0.2625,0.0073,0.5415,0.0086,0.5337,0.0206
