Fold,Accuracy,Precision,Recall,F1
1,0.573,0.5728567531238014,0.5730000000000001,0.5689473761407411
2,0.5465,0.5631390857067573,0.5465,0.5474296864388034
3,0.536,0.5372024628082489,0.5359999999999999,0.5345537855152414
4,0.5275,0.5397234678563209,0.5275000000000001,0.5297886308373985
5,0.5395,0.5443585523574158,0.5395,0.5371506670629511
