Fold,Epoch,Train_Loss,Val_Loss,Train_Acc,Val_Acc
1,1,104.65160024166107,32.6845743060112,0.39325,0.349
1,2,77.35541206598282,23.954608380794525,0.551125,0.477
1,3,58.8350909948349,24.935125529766083,0.666,0.497
1,4,40.585293889045715,29.763652682304382,0.773625,0.469
1,5,26.863416522741318,35.51529288291931,0.846875,0.419
1,6,18.798298314213753,37.55994638800621,0.897,0.46
1,7,13.600298263132572,33.61435550451279,0.92475,0.5185
1,8,8.850716136395931,31.12036043405533,0.9515,0.554
1,9,7.487943731248379,33.98660755157471,0.96175,0.5205
1,10,6.36083029396832,34.55040526390076,0.968875,0.5315
1,11,5.466168452054262,35.81505048274994,0.97075,0.5375
1,12,4.9002390298992395,34.77785664796829,0.972625,0.5455
1,13,5.410557512193918,37.69153368473053,0.972,0.5235
1,14,6.970027567818761,36.09736227989197,0.961125,0.554
1,15,4.255936214700341,37.433894872665405,0.976375,0.5335
1,16,3.576281677931547,39.32761478424072,0.980875,0.5435
1,17,3.138071850175038,36.8710156083107,0.982125,0.5475
1,18,2.7007597987540066,35.28939366340637,0.98625,0.565
1,19,2.3400647500529885,37.88319832086563,0.988,0.5565
1,20,2.652434741612524,37.827754974365234,0.985625,0.5585
2,1,105.83421683311462,23.28792154788971,0.38575,0.467
2,2,78.66845500469208,24.34839391708374,0.548375,0.4395
2,3,61.59647750854492,24.711820423603058,0.6545,0.4905
2,4,43.541233003139496,23.792554914951324,0.757,0.511
2,5,28.770992159843445,28.033056557178497,0.8425,0.51
2,6,19.90241976082325,29.463729202747345,0.89175,0.534
2,7,13.43608320504427,31.366780161857605,0.925625,0.5145
2,8,9.614565007388592,34.750916957855225,0.9465,0.4995
2,9,7.89595315977931,37.91712236404419,0.95675,0.51
2,10,7.697723809629679,35.69929873943329,0.958,0.53
2,11,6.937331486493349,37.06266462802887,0.961125,0.524
2,12,5.402388423681259,35.26304638385773,0.9705,0.53
2,13,3.8541721533983946,36.53224092721939,0.979375,0.5405
2,14,4.582419429905713,39.781753957271576,0.97325,0.5125
2,15,5.892984490841627,36.83055126667023,0.968625,0.5355
2,16,5.341718273237348,37.68346410989761,0.97075,0.5295
2,17,3.7021160647273064,38.227004528045654,0.978375,0.5465
2,18,3.1886119451373816,40.263617753982544,0.9835,0.5215
2,19,2.555150388740003,36.799457013607025,0.986625,0.5675
2,20,1.6054075518622994,38.23608618974686,0.99175,0.552
3,1,103.67969727516174,28.71412867307663,0.403,0.369
3,2,75.53844207525253,22.62693816423416,0.573625,0.481
3,3,56.09722536802292,25.70533549785614,0.68825,0.478
3,4,39.03865107893944,30.882914006710052,0.776375,0.4635
3,5,25.562391251325607,32.772758066654205,0.863125,0.474
3,6,16.62074586749077,29.430909752845764,0.907375,0.542
3,7,10.954878255724907,31.038217186927795,0.942,0.5345
3,8,11.00389463454485,34.05859160423279,0.939375,0.5145
3,9,8.825610239058733,33.578641414642334,0.95125,0.5125
3,10,6.363115955144167,34.04410779476166,0.9635,0.526
3,11,5.124508950859308,34.185956716537476,0.97375,0.5405
3,12,3.56444258056581,38.16653275489807,0.981625,0.522
3,13,2.545330629684031,40.69926428794861,0.987375,0.5235
3,14,4.1463963547721505,41.31999957561493,0.9785,0.5
3,15,5.876623351126909,38.483214259147644,0.9685,0.5025
3,16,5.363907478749752,36.46708917617798,0.971125,0.549
3,17,4.29956622980535,36.1353223323822,0.97725,0.557
3,18,4.3113229759037495,43.368114590644836,0.9765,0.5195
3,19,4.057547978125513,41.302881836891174,0.978125,0.533
3,20,3.5996371135115623,39.43641233444214,0.981625,0.5175
4,1,102.3409640789032,25.79661989212036,0.406625,0.428
4,2,76.65200018882751,24.710118889808655,0.553125,0.462
4,3,55.112870275974274,27.799625277519226,0.691,0.451
4,4,38.36939546465874,30.849133849143982,0.786125,0.447
4,5,25.748585492372513,27.35488724708557,0.859375,0.5335
4,6,18.0383889824152,35.507542848587036,0.903875,0.485
4,7,14.804600186645985,32.328411757946014,0.91625,0.523
4,8,8.983204379677773,36.03228950500488,0.952375,0.515
4,9,7.958931079134345,40.18730092048645,0.955875,0.489
4,10,6.059921020641923,34.40058434009552,0.9695,0.5415
4,11,6.024815414100885,35.01365911960602,0.968375,0.5455
4,12,5.169682607986033,37.33285701274872,0.971125,0.5255
4,13,5.045375881716609,36.1017929315567,0.971875,0.5365
4,14,5.7899622824043036,33.946881890296936,0.968375,0.551
4,15,3.601734546944499,37.21400964260101,0.982375,0.53
4,16,2.3200333397835493,35.77864921092987,0.987625,0.5575
4,17,2.885276419110596,37.1036034822464,0.986125,0.545
4,18,3.4821490361355245,40.929826974868774,0.98175,0.5335
4,19,4.288301259279251,37.12323594093323,0.975875,0.54
4,20,5.248863581568003,38.179075837135315,0.971,0.531
5,1,104.07399225234985,26.391431391239166,0.39325,0.3945
5,2,76.11048889160156,24.493330001831055,0.559375,0.4595
5,3,57.43869459629059,22.06519454717636,0.67825,0.5365
5,4,38.62009599804878,27.144001990556717,0.786,0.4905
5,5,26.07682639360428,36.762477695941925,0.859,0.473
5,6,18.613278456032276,31.1324622631073,0.900875,0.522
5,7,13.384172543883324,31.00484937429428,0.926375,0.5415
5,8,8.212178695946932,38.9962443113327,0.954,0.4715
5,9,10.699548415839672,36.178944289684296,0.940375,0.5185
5,10,7.1820178180933,37.85986453294754,0.96125,0.526
5,11,5.158618585206568,36.163701593875885,0.972625,0.5375
5,12,3.7903422359377146,37.34996557235718,0.980875,0.5285
5,13,3.3650387041270733,40.096841394901276,0.9815,0.529
5,14,4.764882055111229,40.79460883140564,0.97375,0.5125
5,15,5.829216251149774,43.556109607219696,0.969125,0.5
5,16,4.041158085688949,39.07953429222107,0.97925,0.536
5,17,3.761201678775251,38.307881474494934,0.9815,0.5385
5,18,2.722490219399333,37.78124636411667,0.985875,0.534
5,19,2.25971753988415,40.034783363342285,0.989,0.5455
5,20,2.525693949079141,43.156299114227295,0.986375,0.5065
