num_per_class,accuracy,precision,recall,f1
200,0.36950000000000005,0.3897492575850131,0.36950000000000005,0.3618081493433693
400,0.42024999999999996,0.43610628939260654,0.42025000000000007,0.415532810288456
600,0.45966666666666667,0.4878424730258506,0.45966666666666667,0.4569424822568185
800,0.5115000000000001,0.5232218103895175,0.5115000000000001,0.5059213044652977
1000,0.5551,0.57273883521108,0.5551,0.555770317766597
