fold,accuracy,precision,recall,f1
1,0.2645,0.2588589859394098,0.26570849373826344,0.26092920608753956
2,0.2705,0.26393466923567155,0.2715691902706583,0.26357335318591796
3,0.255,0.25086613342617475,0.2558792431783865,0.2512283294403165
4,0.2795,0.27384566580028896,0.2802000570151294,0.2741878847554374
5,0.2665,0.26211631594426665,0.26591386388213867,0.262600674243809
