metric,mean,std
accuracy,0.6964285714285714,0.009715336077668193
precision,0.7015299908101355,0.01076414968817941
recall,0.6977204859563958,0.009592206652567473
f1,0.6967504291182982,0.010410196596568532
train_time,159.9743043899536,
inference_time,1744938329.0296416,
,,
dataset_info,,
dataset,iCubWorld1.0,
num_classes,7,
