Parameter,Value
Num Clusters,300
Feature Detector,sift
Classifier Type,svm
Total Training Time,154.67 seconds
Feature Extraction Time,1.82 seconds
Clustering Time,117.51 seconds
Classification Time,35.33 seconds
Total Descriptors,73744
Avg Descriptors/Image,32.9
""
Dataset Information
dataset,iCubWorld1.0
num_classes,7
