fold,accuracy,precision,recall,f1
1,0.6517857142857143,0.6560809066535149,0.6542982484902833,0.6533459321422063
2,0.6625,0.6639785086670981,0.6636449641644185,0.6624370033344003
3,0.6375,0.6361123529982422,0.6392744374040041,0.6364005839746728
4,0.6071428571428571,0.6116451696835778,0.6055420646829986,0.6065816072200916
5,0.6357142857142857,0.6362249299573918,0.6352110334344101,0.6344143576535387
