metric,mean,std
accuracy,0.4925,0.020310096011589892
precision,0.5888951393804891,0.016331323436194634
recall,0.4948652169226115,0.023472287110253683
f1,0.48507333551379644,0.024390929522378563
train_time,156.6553114414215,
inference_time,0.8301082611083984,
,,
dataset_info,,
dataset,iCubGS,
num_classes,7,
