Fold,Accuracy,Precision,Recall,F1
1,0.8607142857142858,0.8828778379797538,0.8607142857142858,0.8593006210395195
2,0.9357142857142857,0.9409612858610517,0.9357142857142858,0.9364224929505818
3,0.9660714285714286,0.9667458390487882,0.9660714285714285,0.9660438621665074
4,0.9607142857142857,0.9615479035059433,0.9607142857142856,0.9605633864080361
5,0.9589285714285715,0.9600401926347709,0.9589285714285714,0.95889176904849
